,이름,연도팀,출장,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,WAR,WPA,ERA,FIP,WHIP,ERA+,FIP
55,송명기,20N,22,22,0,0,0,1,0,0,0,21.0,11,11,88,20,2,0,3,8,1,0,21,0,2,4.71,4.46,1.33,103.9,109.1,0.38,-0.27
56,이형범,20두,22,22,0,0,0,1,2,1,1,20.1,17,17,97,22,5,0,3,13,2,2,10,0,0,7.52,6.45,1.72,62.3,71.8,-0.26,-2.18
57,김종수,20한,22,22,0,0,0,1,0,0,3,19.2,13,12,92,24,5,3,3,7,0,1,14,0,3,5.49,5.38,1.58,87.2,90.1,0.20,-0.11
58,진명호,20롯,22,22,0,0,0,0,1,0,2,16.0,17,17,77,13,3,0,2,16,0,0,17,0,1,9.56,6.10,1.81,50.9,79.0,-0.45,-1.28
59,조덕길,20키,21,21,0,0,0,0,0,0,1,24.2,10,10,102,22,6,0,2,6,0,1,14,0,1,3.65,4.37,1.14,129.9,108.1,0.54,-0.48
60,송승준,20롯,21,21,0,0,0,2,1,0,1,24.1,12,12,113,27,3,2,2,13,2,2,24,0,3,4.44,4.30,1.64,109.6,111.9,0.45,-0.87
61,이상규,20L,21,21,0,0,0,2,2,4,1,21.0,15,15,103,28,6,1,2,15,0,1,12,0,2,6.43,5.98,2.05,72.8,78.5,-0.04,-0.77
62,박희수,20S,21,21,0,0,0,0,1,0,0,19.0,13,13,86,24,5,0,4,6,0,0,19,0,2,6.16,5.28,1.58,77.9,93.3,0.14,-0.17
63,안우진,20키,21,21,0,0,0,0,2,0,6,17.2,8,8,74,11,1,0,1,11,0,0,22,0,1,4.08,3.71,1.25,116.3,127.0,0.47,-0.62
64,조영우,20S,20,20,0,0,0,1,0,0,0,27.2,21,20,129,37,6,0,4,10,0,2,13,0,1,6.51,5.84,1.70,73.7,83.7,0.08,-0.36
65,김대우,20롯,20,20,0,0,1,0,1,0,0,23.1,11,11,96,16,4,0,0,15,0,0,19,1,4,4.24,3.90,1.33,114.7,123.2,0.44,-0.11
66,오승환,20삼,20,20,0,0,0,1,2,8,2,22.0,11,11,98,24,5,1,1,10,0,1,17,0,1,4.50,4.14,1.55,110.8,117.7,0.55,-0.06
67,이보근,20K,20,20,0,0,0,0,0,2,3,21.2,5,5,81,14,2,0,1,5,1,0,6,0,2,2.08,4.20,0.88,232.6,114.2,0.90,0.63
68,강재민,20한,20,20,0,0,0,0,0,0,4,19.2,8,6,86,17,5,0,0,9,1,0,27,1,1,2.75,2.07,1.32,174.4,232.3,0.64,0.12
