,IDENTIFICATION,PLAYER_DETAIL,POSITIONS,HEIGHT,WEIGHT,SALARY,FIRST_YEAR
97,50550,김대환_1974년 06월 07일,(),173cm,72kg,0,20롯데코치
98,50551,김태현_1987년 03월 11일,(),180cm,95kg,0,20롯데코치
99,50552,손재원_1981년 11월 11일,(),185cm,98kg,0,20롯데코치
100,50556,최준용_2001년 10월 10일,투수(우투우타),185cm,85kg,2700만원,20롯데
101,50558,스트레일리_1988년 12월 11일,투수(우투우타),189cm,100kg,500000달러,20롯데
102,50563,박재민_2001년 08월 27일,투수(좌투좌타),186cm,88kg,2700만원,20롯데
103,50573,김민기_1996년 02월 14일,투수(우투우타),177cm,83kg,2700만원,0
104,50574,설재민_1997년 05월 01일,투수(우투우타),174cm,80kg,2700만원,0
105,50576,한지운_2001년 03월 30일,포수(우투우타),186cm,92kg,2700만원,0
106,50584,정도웅_2001년 04월 03일,내야수(우투우타),176cm,85kg,2700만원,20롯데
107,50585,콩거_1988년 01월 29일,(우투양타),188cm,102kg,0,20롯데코치
108,50587,윤윤덕_1990년 02월 20일,(),178cm,78kg,0,20롯데코치
109,50589,롱_1973년 02월 03일,(우투우타),188cm,97kg,0,20롯데코치
110,50590,신학진_2000년 12월 12일,투수(우투우타),185cm,78kg,2700만원,0
111,50592,박명현_2001년 06월 16일,투수(우투우타),185cm,80kg,2700만원,20롯데
112,50593,백어진_1990년 11월 26일,(우투우타),181cm,83kg,0,20롯데코치
113,50594,김현종_2000년 05월 22일,투수(좌투좌타),183cm,80kg,2700만원,0
114,50595,헤르젠버그_1990년 04월 23일,(좌투좌타),180cm,113kg,0,20롯데코치
115,50596,홍민기_2001년 07월 20일,투수(좌투좌타),185cm,85kg,2700만원,20롯데
116,50597,차혜성_1997년 02월 17일,외야수(좌투좌타),175cm,75kg,2700만원,0
117,50600,홍종표_2000년 05월 02일,내야수(우투좌타),178cm,72kg,2700만원,20KIA
118,50604,유지성_2000년 11월 15일,투수(좌투좌타),189cm,94kg,2700만원,20KIA
119,50608,이인한_1998년 12월 24일,외야수(우투우타),183cm,100kg,2700만원,0
120,50609,윌리엄스_1965년 11월 28일,(우투우타),188cm,92kg,0,20KIA감독
121,50613,김양수_2001년 01월 23일,투수(우투우타),184cm,80kg,2700만원,0
122,50614,김연준_1996년 12월 20일,외야수(우투좌타),0cm,0kg,2700만원,0
123,50622,오규석_2001년 12월 04일,투수(우투우타),187cm,97kg,2700만원,0
124,50632,백현종_1999년 06월 10일,포수(우투우타),184cm,94kg,2700만원,0
125,50636,브룩스_1990년 04월 27일,투수(우투우타),193cm,104kg,479000달러,20KIA
126,50637,강민수_2001년 02월 14일,투수(우투우타),176cm,80kg,2700만원,0
127,50640,가뇽_1990년 06월 26일,투수(우투우타),193cm,97kg,650000달러,20KIA
128,50641,장재혁_2001년 08월 02일,투수(우투우타),180cm,86kg,2700만원,0
129,50650,최용준_2001년 12월 19일,투수(우투우타),193cm,97kg,2700만원,0
130,50657,박민_2001년 06월 05일,내야수(우투우타),184cm,84kg,2700만원,20KIA
131,50662,정해영_2001년 08월 23일,투수(우투우타),189cm,98kg,2700만원,20KIA
132,50677,위더마이어_1955년 01월 17일,(우투우타),175cm,85kg,0,20KIA코치
133,50695,유재민_1988년 03월 20일,(우언우타),170cm,78kg,0,20KIA코치
134,50697,윤인득_1987년 12월 08일,(우투우타),178cm,78kg,0,20KIA코치
135,50701,김소중_1987년 06월 27일,(),184cm,80kg,0,20한화코치
136,50702,김연규_1989년 01월 20일,(),179cm,80kg,0,20한화코치
137,50703,서진영_1990년 02월 03일,(),180cm,75kg,0,20한화코치
138,50704,임종찬_2001년 09월 28일,외야수(우투좌타),184cm,85kg,2700만원,20한화
139,50705,강재민_1997년 04월 03일,투수(우투우타),180cm,86kg,2700만원,20한화
140,50706,장웅정_1997년 04월 11일,투수(우투우타),181cm,76kg,2700만원,0
141,50707,최인호_2000년 01월 30일,외야수(우투좌타),178cm,82kg,2700만원,20한화
142,50708,최이경_1996년 03월 12일,투수(좌투좌타),175cm,91kg,2700만원,0
143,50709,박정현_2001년 07월 27일,내야수(우투우타),183cm,85kg,2700만원,20한화
144,50710,김범준_2000년 09월 30일,투수(우투우타),175cm,83kg,2700만원,0
145,50711,김승일_2001년 07월 07일,투수(우언우타),183cm,85kg,2700만원,0
146,50712,김현제_1997년 01월 19일,투수(우투우타),185cm,94kg,2700만원,0
147,50713,박재경_1997년 04월 09일,내야수(우투우타),170cm,75kg,2700만원,0
148,50714,김광명_1997년 03월 27일,외야수(우투좌타),176cm,80kg,2700만원,0
149,50720,남지민_2001년 02월 12일,투수(우투우타),181cm,95kg,2700만원,20한화
150,50726,한승주_2001년 03월 17일,투수(우투우타),184cm,82kg,2700만원,20한화
151,50730,반즈_1986년 05월 15일,외야수(우투우타),188cm,95kg,50000달러,20한화
152,50758,신지후_2001년 06월 12일,투수(우투우타),198cm,105kg,2700만원,20한화
153,50801,김주윤_1982년 05월 20일,(우투우타),171cm,70kg,0,20SK코치
