,IDENTIFICATION,PLAYER_DETAIL,POSITIONS,HEIGHT,WEIGHT,SALARY,FIRST_YEAR
2390,72336,소중형_1983년 04월 07일,외야수(좌투좌타),177cm,68kg,0,0
2391,72337,프랭클린_1972년 04월 25일,내야수(우투양타),180cm,94kg,0,0
2392,72339,문정환_1979년 04월 27일,투수(우투우타),192cm,92kg,0,0
2393,72340,최환인_1979년 06월 15일,투수(우투우타),182cm,84kg,0,0
2394,72342,토레스_1977년 05월 27일,투수(우투우타),185cm,81kg,0,0
2395,72350,베라스_1973년 03월 13일,투수(우투우타),187cm,80kg,0,0
2396,72351,조용준_1979년 03월 17일,투수(우투우타),176cm,72kg,0,08넥센
2397,72353,송선목_1983년 05월 03일,투수(좌투좌타),180cm,80kg,0,0
2398,72356,윤성귀_1983년 07월 29일,투수(우투우타),182cm,82kg,0,0
2399,72398,최동진_1976년 03월 21일,투수(우투우타),177cm,77kg,0,0
2400,72412,엘비라_1967년 10월 29일,투수(좌투좌타),178cm,82kg,0,0
2401,72427,현재윤_1979년 07월 08일,포수(우투우타),174cm,80kg,0,02삼성
2402,72428,패트릭_1970년 09월 16일,투수(우투우타),184cm,101kg,0,0
2403,72432,박봉수_1977년 07월 16일,외야수(좌투좌타),185cm,90kg,0,0
2404,72442,김현수_1984년 01월 19일,외야수(우투우타),186cm,86kg,0,02삼성
2405,72443,최형우_1983년 12월 16일,외야수(우투좌타),180cm,106kg,150000만원,02삼성
2406,72444,루크_1971년 02월 26일,외야수(좌투좌타),197cm,99kg,0,0
2407,72447,권혁_1983년 11월 06일,투수(좌투좌타),192cm,103kg,19000만원,02삼성
2408,72448,이태호_1983년 09월 24일,외야수(좌투좌타),182cm,80kg,0,0
2409,72450,최무영_1982년 11월 29일,외야수(좌투좌타),173cm,70kg,0,0
2410,72452,이준민_1979년 01월 23일,포수(우투양타),176cm,80kg,0,0
2411,72454,권오원_1979년 08월 16일,(우투우타),184cm,84kg,0,02삼성
2412,72456,손주인_1983년 12월 01일,내야수(우투우타),179cm,82kg,0,02삼성
2413,72457,김민수_1979년 08월 01일,투수(우투우타),182cm,84kg,0,0
2414,72458,임세업_1983년 09월 01일,외야수(우투우타),181cm,82kg,0,02삼성
2415,72461,노병오_1983년 09월 07일,(우투우타),180cm,100kg,0,02삼성
2416,72463,안지만_1983년 10월 01일,투수(우투우타),180cm,83kg,0,02삼성
2417,72466,조동찬_1983년 07월 27일,(우투우타),180cm,80kg,0,02삼성
2418,72503,문정호_1982년 05월 08일,내야수(우투좌타),185cm,87kg,0,0
2419,72513,매기_1968년 04월 09일,투수(좌투좌타),190cm,95kg,0,0
2420,72522,허일상_1979년 12월 21일,(우투우타),176cm,88kg,0,0
2421,72523,고효준_1983년 02월 08일,투수(좌투좌타),179cm,74kg,10000만원,02롯데
2422,72535,이명우_1982년 06월 03일,투수(좌투좌타),185cm,98kg,0,02롯데
2423,72543,베로아_1965년 03월 18일,외야수(우투우타),180cm,95kg,0,0
2424,72546,문규현_1983년 07월 05일,(우투우타),185cm,92kg,0,02롯데
2425,72548,김정현_1979년 05월 27일,내야수(우투우타),182cm,90kg,0,0
2426,72551,이정민_1979년 03월 02일,(우투우타),182cm,90kg,0,02롯데
2427,72553,해처_1969년 01월 07일,외야수(우투우타),185cm,105kg,0,0
2428,72554,김풍철_1976년 10월 20일,투수(우투우타),183cm,84kg,0,0
2429,72556,신원주_1976년 10월 14일,투수(우투우타),189cm,74kg,0,0
2430,72559,신종길_1983년 12월 31일,외야수(우투좌타),183cm,87kg,0,02롯데
2431,72560,전용종_1979년 10월 11일,투수(우투우타),183cm,90kg,0,0
2432,72562,변인재_1979년 06월 11일,투수(우투우타),185cm,93kg,0,0
2433,72606,이현곤_1980년 02월 21일,(우투우타),183cm,83kg,0,02KIA
2434,72608,김규태_1983년 05월 23일,외야수(우투우타),180cm,76kg,0,0
2435,72613,홍찬영_1983년 06월 27일,투수(우언우타),181cm,80kg,0,0
2436,72623,조민철_1979년 06월 08일,포수(우투우타),180cm,84kg,0,0
2437,72627,강철민_1979년 07월 22일,투수(우투우타),191cm,95kg,0,09LG
2438,72641,김진우_1983년 03월 07일,투수(우투우타),192cm,110kg,0,02KIA
2439,72642,박상중_1982년 01월 22일,투수(좌투좌타),181cm,78kg,0,0
2440,72643,문수호_1983년 06월 04일,투수(좌투좌타),185cm,85kg,0,02KIA
2441,72645,장준영_1984년 01월 03일,내야수(우투우타),182cm,90kg,0,0
2442,72649,신용운_1983년 09월 08일,투수(우언우타),180cm,72kg,0,02KIA
2443,72650,펨버튼_1969년 12월 17일,외야수(우투우타),185cm,86kg,0,0
2444,72653,키퍼_1968년 11월 13일,투수(우투우타),192cm,91kg,0,0
2445,72654,뉴선_1964년 07월 03일,외야수(좌투좌타),170cm,92kg,0,0
2446,72659,리오스_1972년 11월 11일,투수(우투우타),187cm,90kg,0,0
2447,72720,유혜정_1982년 06월 20일,투수(우투우타),182cm,74kg,0,0
2448,72736,가르시아_1975년 05월 20일,내야수(우투우타),180cm,78kg,0,0
2449,72739,신주영_1984년 02월 15일,투수(우언우타),185cm,86kg,0,0
2450,72742,채상병_1979년 12월 18일,(우투우타),184cm,95kg,0,02한화
2451,72743,정병희_1983년 05월 25일,투수(우투우타),178cm,82kg,0,0
2452,72749,마정길_1979년 03월 13일,(우언우타),177cm,95kg,0,02한화
2453,72752,조현수_1979년 06월 27일,외야수(좌투좌타),180cm,83kg,0,0
2454,72756,피코타_1966년 07월 23일,투수(우투우타),185cm,95kg,0,0
2455,72765,송혁_1979년 05월 21일,외야수(우투좌타),184cm,85kg,0,0
2456,72767,김민규_1979년 07월 04일,투수(우투좌타),182cm,88kg,0,0
2457,72801,제춘모_1982년 04월 05일,(우투우타),190cm,91kg,0,02SK
2458,72813,박창근_1983년 02월 25일,투수(우투우타),185cm,85kg,0,0
2459,72819,박두일_1983년 03월 25일,내야수(우투우타),182cm,76kg,0,0
2460,72822,서성종_1983년 06월 17일,내야수(우투우타),182cm,104kg,0,08LG
2461,72824,페르난데스_1974년 11월 02일,내야수(우투우타),188cm,88kg,0,0
2462,72838,러핀_1971년 07월 29일,투수(우투우타),192cm,77kg,0,0
2463,72840,김지완_1979년 06월 21일,투수(우투우타),179cm,82kg,0,0
2464,72846,곽철병_1979년 08월 10일,투수(우투우타),180cm,81kg,0,0
2465,72850,김재구_1978년 05월 31일,내야수(좌투좌타),176cm,85kg,0,0
2466,72852,윤형국_1979년 08월 20일,내야수(우투우타),175cm,80kg,0,0
2467,72853,송정훈_1982년 03월 11일,외야수(우투우타),176cm,82kg,0,0
2468,72859,잉글린_1975년 10월 08일,외야수(우투우타),180cm,84kg,0,0
2469,72860,이대수_1981년 08월 21일,(우투우타),175cm,75kg,0,02SK
2470,72862,윤길현_1983년 09월 23일,투수(우투우타),183cm,85kg,0,02SK
2471,72918,손용수_1979년 06월 16일,투수(우투우타),179cm,78kg,0,0
2472,73113,박경수_1984년 03월 31일,내야수(우투우타),178cm,80kg,40000만원,03LG
2473,73117,우규민_1985년 01월 21일,투수(우언우타),184cm,75kg,70000만원,03LG
2474,73123,알칸트라_1971년 05월 06일,외야수(우투우타),190cm,90kg,0,0
2475,73136,이성열_1984년 07월 13일,내야수(우투좌타),185cm,102kg,50000만원,03LG
2476,73148,이중훈_1980년 05월 01일,외야수(우투우타),182cm,85kg,0,0
2477,73153,이대형_1983년 07월 19일,외야수(좌투좌타),184cm,78kg,0,03LG
2478,73156,이경민_1984년 07월 31일,투수(우투양타),183cm,78kg,0,0
2479,73166,정재복_1981년 02월 13일,(우투우타),192cm,105kg,0,03LG
2480,73168,김진유_1979년 07월 01일,투수(좌투좌타),184cm,86kg,0,0
2481,73209,나주환_1984년 06월 14일,내야수(우투우타),180cm,84kg,12000만원,03두산
2482,73211,노경은_1984년 03월 11일,투수(우투우타),186cm,90kg,20000만원,03두산
2483,73213,손시헌_1980년 10월 19일,(우투우타),172cm,73kg,0,03두산
2484,73224,김만윤_1984년 07월 23일,외야수(우투양타),184cm,79kg,0,0
2485,73226,김성배_1981년 01월 12일,투수(우언우타),180cm,86kg,0,03두산
2486,73228,전병두_1984년 10월 14일,(좌투좌타),181cm,77kg,0,03두산
2487,73229,이리키_1967년 06월 03일,투수(우투우타),178cm,80kg,0,0
2488,73231,백승훈_1980년 05월 16일,내야수(우투우타),176cm,75kg,0,0
2489,73232,정종수_1980년 05월 08일,포수(우투우타),178cm,88kg,0,0
2490,73233,쿨바_1972년 06월 05일,내야수(우투우타),185cm,84kg,0,0
2491,73239,노기환_1980년 02월 10일,내야수(좌투좌타),182cm,80kg,0,0
2492,73241,정재훈_1980년 01월 01일,(우투우타),178cm,83kg,0,03두산
2493,73246,백대운_1980년 11월 21일,외야수(좌투좌타),183cm,90kg,0,0
2494,73248,김승회_1981년 02월 11일,투수(우투우타),177cm,85kg,17000만원,03두산
2495,73304,권영석_1984년 11월 05일,내야수(우투우타),173cm,68kg,0,0
2496,73306,지석훈_1984년 03월 17일,내야수(우투우타),181cm,74kg,12500만원,03현대
2497,73317,신동민_1980년 03월 14일,투수(우언우타),185cm,83kg,0,0
2498,73322,바워스_1971년 07월 27일,투수(우투우타),196cm,100kg,0,0
2499,73324,브룸바_1974년 04월 21일,외야수(우투우타),186cm,90kg,0,0
2500,73339,이종욱_1980년 06월 18일,(좌투좌타),176cm,78kg,0,03현대
2501,73342,이택근_1980년 07월 10일,외야수(우투우타),183cm,89kg,5000만원,03현대
2502,73343,노환수_1984년 06월 30일,투수(좌투좌타),180cm,82kg,0,04현대
2503,73350,이유섭_1984년 08월 23일,내야수(우투우타),187cm,87kg,0,0
2504,73357,류상문_1983년 04월 20일,투수(좌투좌타),188cm,83kg,0,0
2505,73363,권도영_1981년 02월 11일,(우투우타),177cm,85kg,0,03현대
2506,73402,안상국_1980년 03월 21일,내야수(우투우타),177cm,75kg,0,0
2507,73409,강명구_1980년 10월 25일,(우투좌타),181cm,70kg,0,03삼성
2508,73413,임동규_1979년 06월 03일,투수(우투우타),185cm,97kg,0,0
2509,73415,권동식_1981년 01월 24일,투수(우투우타),180cm,85kg,0,0
2510,73416,김태훈_1980년 04월 23일,내야수(우투우타),184cm,78kg,0,0
2511,73419,김문수_1979년 09월 30일,투수(우언우타),180cm,78kg,0,0
2512,73421,김형근_1983년 07월 07일,투수(좌투좌타),185cm,85kg,0,0
2513,73424,라이언_1974년 11월 01일,투수(우투우타),190cm,91kg,0,0
2514,73438,김영복_1985년 02월 17일,내야수(우투우타),185cm,98kg,0,0
2515,73440,주재필_1980년 09월 19일,투수(좌투좌타),176cm,83kg,0,0
2516,73441,윤석현_1984년 04월 15일,투수(우투우타),183cm,95kg,0,0
2517,73455,곽용섭_1983년 02월 03일,내야수(좌투좌타),188cm,104kg,0,09LG
2518,73468,허연철_1980년 08월 07일,외야수(우투우타),181cm,77kg,0,0
2519,73503,보이_1966년 04월 14일,외야수(우투좌타),184cm,93kg,0,0
2520,73508,이석만_1980년 05월 08일,투수(우투우타),178cm,78kg,0,0
2521,73513,정보명_1980년 08월 23일,(우투우타),175cm,80kg,0,03롯데
2522,73521,김휘곤_1984년 07월 28일,투수(우투우타),187cm,85kg,0,0
2523,73537,양성제_1980년 12월 16일,투수(우언우타),182cm,83kg,0,0
2524,73540,김영화_1965년 11월 20일,포수(우투우타),185cm,94kg,0,0
2525,73543,박정준_1984년 06월 26일,외야수(좌투좌타),185cm,87kg,0,03롯데
2526,73553,모리_1975년 12월 12일,투수(우투우타),183cm,80kg,0,03롯데
2527,73559,페레즈_1969년 06월 04일,외야수(우투우타),192cm,104kg,0,0
2528,73563,이인구_1980년 11월 07일,외야수(우투좌타),186cm,94kg,0,03롯데
2529,73564,이시온_1975년 09월 24일,외야수(우투우타),185cm,95kg,0,0
2530,73565,김주용_1980년 01월 17일,외야수(우투우타),185cm,100kg,0,0
2531,73567,조인신_1980년 08월 14일,내야수(우투우타),183cm,87kg,0,0
2532,73588,이시이_1964년 10월 25일,(우투우타),185cm,88kg,0,0
2533,73602,차일목_1981년 01월 26일,(우투우타),176cm,81kg,0,03KIA
2534,73604,김주호_1984년 04월 01일,내야수(우투좌타),184cm,79kg,0,0
2535,73606,서동욱_1984년 03월 21일,(우투양타),188cm,99kg,0,03KIA
2536,73629,고우석_1984년 11월 03일,투수(우투우타),183cm,88kg,0,0
2537,73632,임준혁_1984년 10월 09일,투수(우투우타),182cm,100kg,0,03KIA
2538,73641,박창열_1980년 05월 18일,외야수(우투우타),186cm,90kg,0,0
2539,73648,최재익_1980년 08월 24일,투수(우투우타),190cm,97kg,0,0
2540,73650,최건호_1984년 08월 12일,투수(좌투좌타),187cm,80kg,0,0
2541,73653,존슨_1975년 10월 03일,투수(우투우타),187cm,77kg,0,0
2542,73654,이정상_1984년 07월 11일,외야수(좌투좌타),179cm,78kg,0,0
2543,73657,조태수_1983년 05월 29일,투수(우투우타),183cm,88kg,0,03KIA
2544,73666,최동락_1980년 12월 24일,외야수(우투우타),178cm,73kg,0,0
2545,73675,이케우치_1952년 04월 07일,(우투우타),177cm,85kg,0,0
2546,73703,한상훈_1980년 06월 03일,내야수(우투좌타),176cm,78kg,0,03한화
2547,73713,맹진국_1984년 08월 28일,내야수(우투우타),180cm,78kg,0,0
2548,73720,문용민_1980년 12월 06일,투수(좌투좌타),173cm,77kg,0,0
2549,73725,이양기_1981년 01월 31일,(우투우타),184cm,90kg,0,03한화
2550,73732,고지행_1978년 05월 03일,내야수(우투우타),184cm,88kg,0,0
2551,73736,신민기_1980년 12월 11일,(우투좌타),173cm,92kg,0,03한화
2552,73738,안영명_1984년 11월 19일,투수(우투우타),183cm,90kg,35000만원,03한화
2553,73745,전경일_1980년 05월 16일,투수(우투우타),196cm,96kg,0,0
2554,73746,에스트라다_1975년 10월 19일,투수(좌투좌타),183cm,79kg,0,0
2555,73747,메히아_1972년 04월 14일,내야수(우투우타),180cm,91kg,0,0
2556,73748,장순천_1981년 03월 01일,투수(우투우타),182cm,95kg,0,0
2557,73750,윤규진_1984년 07월 28일,투수(우투우타),185cm,90kg,17000만원,03한화
2558,73757,최민준_1984년 04월 05일,외야수(좌투좌타),180cm,79kg,0,0
2559,73801,송은범_1984년 03월 17일,투수(우투우타),182cm,93kg,27000만원,03SK
2560,73817,한상준_1980년 11월 23일,외야수(우투우타),189cm,89kg,0,0
2561,73823,스미스_1972년 11월 07일,투수(우투우타),178cm,75kg,0,0
2562,73824,최경철_1980년 08월 15일,(우투우타),180cm,86kg,0,03SK
2563,73825,이영욱_1980년 08월 13일,투수(우언우타),191cm,94kg,0,03SK
2564,73827,김형철_1980년 05월 26일,내야수(우투좌타),176cm,79kg,0,08KIA
2565,73829,정정호_1985년 02월 01일,투수(좌투좌타),186cm,76kg,0,0
2566,73830,조진호_1975년 08월 16일,(우투우타),190cm,98kg,0,03SK
2567,73848,디아즈_1971년 09월 29일,내야수(우투우타),178cm,86kg,0,0
2568,73853,송수근_1980년 06월 26일,외야수(우투우타),180cm,83kg,0,0
2569,73856,양승학_1984년 01월 20일,외야수(우투우타),187cm,92kg,0,0
2570,73859,김재천_1984년 10월 18일,외야수(좌투좌타),178cm,80kg,0,0
2571,74103,박기남_1981년 08월 14일,(우투우타),175cm,80kg,0,04LG
2572,74123,후타도_1970년 02월 01일,투수(우투우타),188cm,88kg,0,0
2573,74124,쿠퍼_1974년 08월 19일,투수(우투우타),184cm,90kg,0,0
2574,74125,마틴_1967년 11월 24일,외야수(좌투좌타),188cm,98kg,0,0
2575,74130,민경수_1981년 05월 19일,투수(좌투좌타),185cm,90kg,0,04LG
2576,74139,장진용_1986년 01월 28일,(우투우타),187cm,92kg,0,04LG
2577,74146,손기현_1981년 03월 03일,투수(우투우타),180cm,81kg,0,0
2578,74148,이시찬_1985년 02월 25일,내야수(우투우타),182cm,84kg,0,04LG
2579,74154,구인환_1982년 01월 01일,내야수(우투우타),185cm,90kg,0,0
2580,74157,강창주_1985년 07월 27일,투수(우투우타),188cm,95kg,0,0
2581,74158,김태완_1981년 09월 19일,내야수(우투우타),174cm,81kg,0,04LG
2582,74160,송현우_1981년 09월 16일,투수(우투우타),180cm,82kg,0,0
2583,74163,이용규_1985년 08월 26일,외야수(좌투좌타),175cm,70kg,40000만원,04LG
2584,74167,심수창_1981년 02월 09일,투수(우투우타),185cm,85kg,0,04LG
2585,74169,허용_1982년 02월 03일,외야수(우투우타),187cm,87kg,0,0
2586,74206,김재호_1985년 03월 21일,내야수(우투우타),181cm,75kg,65000만원,04두산
2587,74215,윤석민_1985년 09월 04일,내야수(우투우타),180cm,88kg,18000만원,04두산
2588,74219,이경민_1985년 03월 07일,투수(우투우타),183cm,83kg,0,0
2589,74223,용덕한_1981년 04월 09일,(우투우타),176cm,82kg,0,04두산
2590,74229,김수훈_1980년 07월 10일,투수(우투우타),180cm,72kg,0,0
2591,74234,구자민_1981년 05월 03일,투수(우언우타),184cm,84kg,0,0
2592,74239,홍마태_1981년 05월 05일,투수(좌투좌타),180cm,84kg,0,0
2593,74240,남찬섭_1985년 03월 01일,내야수(우투우타),188cm,95kg,0,0
2594,74242,방승재_1981년 05월 10일,외야수(우투좌타),177cm,75kg,0,0
2595,74244,구명환_1986년 01월 13일,외야수(좌투좌타),185cm,85kg,0,0
2596,74246,김혜겸_1985년 01월 05일,외야수(우투우타),185cm,95kg,0,0
2597,74247,이원희_1985년 07월 15일,외야수(우투우타),186cm,89kg,0,08상무
2598,74250,홍석균_1981년 09월 22일,내야수(우투우타),178cm,76kg,0,0
2599,74256,송수_1984년 03월 04일,내야수(우투우타),185cm,82kg,0,0
2600,74260,김무학_1985년 09월 04일,투수(우투우타),184cm,80kg,0,0
2601,74304,최현종_1985년 07월 08일,외야수(우투우타),180cm,85kg,0,08넥센
2602,74336,피어리_1969년 12월 09일,투수(우투우타),186cm,90kg,0,0
2603,74338,박상진_1985년 10월 01일,투수(우투우타),188cm,80kg,0,0
2604,74339,유한준_1981년 07월 01일,외야수(우투우타),186cm,97kg,50000만원,04현대
2605,74346,이승주_1984년 04월 13일,외야수(우투좌타),180cm,74kg,0,0
2606,74358,조평호_1985년 08월 07일,내야수(우투우타),188cm,84kg,0,04현대
2607,74359,오주원_1985년 03월 31일,투수(좌투좌타),184cm,95kg,20000만원,04현대
2608,74362,장요상_1981년 08월 11일,외야수(우투우타),178cm,81kg,0,0
2609,74363,박건우_1985년 04월 06일,투수(우투우타),183cm,87kg,0,04현대
2610,74366,김선일_1986년 02월 02일,투수(우투우타),184cm,80kg,0,0
2611,74368,김동건_1984년 08월 08일,투수(우투우타),cm,kg,0,0
2612,74391,우원식_1986년 02월 20일,투수(좌투좌타),183cm,80kg,0,0
2613,74402,이정식_1981년 11월 02일,(우투우타),183cm,93kg,0,04삼성
2614,74404,오상준_1985년 03월 17일,내야수(우투우타),175cm,76kg,0,0
2615,74412,정광섭_1985년 04월 06일,포수(우투우타),182cm,90kg,0,0
2616,74429,오리어리_1969년 08월 04일,외야수(좌투좌타),181cm,90kg,0,0
2617,74430,로페즈_1974년 10월 15일,내야수(우투우타),189cm,90kg,0,0
2618,74444,허재인_1981년 05월 13일,외야수(좌투좌타),171cm,85kg,0,0
2619,74449,서홍준_1985년 03월 19일,투수(좌투좌타),190cm,80kg,0,0
2620,74453,채형직_1986년 02월 26일,투수(우투우타),184cm,85kg,0,0
2621,74454,윤성환_1981년 10월 08일,투수(우투우타),183cm,88kg,40000만원,04삼성
2622,74456,진종길_1981년 09월 23일,(우투좌타),178cm,80kg,0,04삼성
2623,74458,호지스_1973년 06월 24일,투수(우투우타),193cm,91kg,0,0
2624,74459,이장희_1985년 06월 24일,외야수(우투좌타),186cm,79kg,0,0
2625,74460,안태영_1985년 03월 15일,내야수(우투좌타),186cm,93kg,0,04삼성
2626,74465,박석민_1985년 06월 22일,내야수(우투우타),178cm,88kg,70000만원,04삼성
2627,74513,장원준_1985년 07월 31일,투수(좌투좌타),184cm,85kg,30000만원,04롯데
2628,74529,김수화_1986년 01월 12일,투수(우투우타),188cm,91kg,0,10넥센
2629,74534,라이온_1971년 11월 15일,외야수(좌투좌타),188cm,95kg,0,0
2630,74536,김태우_1985년 03월 09일,내야수(우투우타),188cm,93kg,0,0
2631,74540,강민호_1985년 08월 18일,포수(우투우타),185cm,100kg,125000만원,04롯데
2632,74543,최대성_1985년 05월 17일,투수(우투우타),183cm,106kg,0,04롯데
2633,74548,이정동_1985년 07월 17일,투수(우투우타),180cm,90kg,0,0
2634,74556,허준혁_1985년 12월 15일,투수(우투우타),180cm,90kg,0,04롯데
2635,74558,곽주섭_1980년 11월 09일,외야수(우투우타),181cm,87kg,0,0
2636,74559,황이갑_1981년 05월 22일,내야수(좌투좌타),184cm,92kg,0,0
2637,74560,김종성_1985년 10월 03일,외야수(우투우타),182cm,82kg,0,0
2638,74562,성민국_1982년 02월 09일,포수(우투우타),173cm,81kg,0,0
2639,74564,서정호_1981년 12월 24일,외야수(우투우타),185cm,93kg,0,0
2640,74565,박진환_1981년 03월 10일,내야수(우투우타),183cm,86kg,0,0
2641,74605,김주형_1985년 12월 15일,내야수(우투우타),186cm,108kg,0,04KIA
2642,74620,이동현_1979년 11월 15일,투수(우투우타),188cm,92kg,0,0
2643,74630,박근홍_1985년 08월 22일,투수(좌투좌타),180cm,90kg,0,04KIA
2644,74635,주창훈_1981년 12월 17일,내야수(좌투좌타),185cm,90kg,0,0
2645,74642,김성호_1981년 04월 30일,포수(우투우타),186cm,90kg,0,0
2646,74643,박강우_1980년 07월 19일,투수(우언우타),177cm,77kg,0,0
2647,74644,권희석_1985년 05월 13일,내야수(우투우타),190cm,98kg,0,0
2648,74647,이상화_1980년 09월 15일,투수(우투우타),182cm,84kg,0,04KIA
2649,74650,이영수_1981년 05월 09일,(우투우타),184cm,90kg,0,04KIA
2650,74651,김성계_1985년 05월 23일,투수(우투우타),190cm,87kg,0,04KIA
2651,74653,마뇽_1973년 06월 10일,투수(우투우타),185cm,83kg,0,0
2652,74704,권영근_1981년 11월 16일,내야수(우투우타),177cm,73kg,0,0
2653,74720,조문기_1981년 04월 12일,포수(우투우타),183cm,86kg,0,0
2654,74723,엔젤_1975년 02월 16일,내야수(우투우타),178cm,100kg,0,0
2655,74726,조영민_1981년 03월 11일,투수(우투우타),175cm,90kg,0,04한화
2656,74728,김창훈_1985년 10월 03일,투수(좌언좌타),183cm,82kg,0,04한화
2657,74729,최진행_1985년 08월 17일,외야수(우투우타),188cm,100kg,16000만원,04한화
2658,74731,송창식_1985년 03월 25일,투수(우투우타),183cm,104kg,16000만원,04한화
2659,74745,고동진_1980년 04월 01일,(좌투좌타),183cm,85kg,0,04한화
2660,74746,이창훈_1981년 03월 25일,내야수(우투우타),175cm,65kg,0,0
2661,74748,정재원_1984년 08월 11일,투수(우언우타),187cm,84kg,0,04한화
2662,74756,박노민_1985년 08월 18일,(우투우타),182cm,95kg,0,04한화
2663,74761,윤경영_1980년 08월 12일,투수(우투우타),187cm,88kg,0,0
2664,74807,안용휘_1981년 09월 28일,내야수(우투양타),178cm,73kg,0,0
2665,74817,김종민_1981년 06월 30일,투수(좌투좌타),175cm,74kg,0,0
2666,74823,임훈_1985년 07월 17일,(좌투좌타),186cm,86kg,0,04SK
2667,74828,카브레라_1972년 03월 24일,투수(우투우타),183cm,81kg,0,0
2668,74836,최혁길_1981년 03월 25일,투수(우투우타),179cm,76kg,0,0
2669,74838,윤희상_1985년 05월 17일,투수(우투우타),193cm,90kg,7500만원,04SK
2670,74840,박권수_1985년 08월 12일,투수(우투우타),180cm,78kg,0,0
2671,74846,박정권_1981년 07월 21일,(좌투좌타),187cm,96kg,0,04SK
2672,74849,김원_1978년 09월 23일,외야수(우투우타),183cm,93kg,0,0
2673,74857,정우람_1985년 06월 01일,투수(좌투좌타),181cm,82kg,80000만원,04SK
2674,74858,지훈_1986년 02월 22일,투수(우언우타),181cm,75kg,0,0
2675,75113,백자룡_1986년 10월 16일,내야수(우투우타),185cm,88kg,0,0
2676,75125,박병호_1986년 07월 10일,내야수(우투우타),185cm,107kg,200000만원,05LG
2677,75131,손상정_1982년 04월 07일,투수(우언우타),180cm,70kg,0,0
2678,75138,신재웅_1982년 03월 28일,투수(좌투좌타),181cm,85kg,11000만원,05LG
2679,75143,강병우_1986년 12월 26일,외야수(우투좌타),183cm,84kg,0,10넥센
2680,75149,홍성용_1986년 11월 18일,(좌투좌타),180cm,85kg,0,05LG
2681,75151,정의윤_1986년 07월 25일,외야수(우투우타),185cm,90kg,30000만원,05LG
2682,75154,클리어_1973년 08월 21일,외야수(우투우타),178cm,86kg,0,0
2683,75155,왈론드_1976년 11월 07일,투수(좌투좌타),183cm,89kg,0,10두산
2684,75156,마테오_1978년 02월 10일,외야수(우투우타),182cm,95kg,0,0
2685,75164,이윤호_1982년 11월 04일,내야수(우투우타),180cm,74kg,0,0
2686,75174,박가람_1986년 11월 07일,내야수(우투우타),176cm,72kg,0,0
2687,75230,랜들_1977년 02월 15일,투수(우투우타),184cm,82kg,0,0
2688,75236,이윤호_1986년 07월 10일,내야수(우투좌타),188cm,86kg,0,0
2689,75238,윤형관_1982년 04월 29일,외야수(좌투좌타),182cm,73kg,0,0
2690,75244,이호성_1986년 08월 15일,내야수(우투우타),189cm,98kg,0,0
2691,75245,스미스_1969년 10월 21일,투수(우투우타),185cm,85kg,0,0
2692,75250,박정배_1982년 04월 01일,투수(우투우타),180cm,85kg,0,05두산
2693,75253,김하람_1986년 09월 11일,내야수(우투우타),180cm,73kg,0,0
2694,75255,김명제_1987년 01월 05일,투수(우투우타),187cm,95kg,0,0
2695,75258,금민철_1986년 11월 07일,투수(좌투좌타),181cm,87kg,15000만원,05두산
2696,75259,강관식_1981년 04월 12일,투수(좌투좌타),177cm,65kg,0,0
2697,75261,서동환_1986년 03월 27일,투수(우투우타),185cm,90kg,0,05두산
2698,75266,윤승균_1983년 01월 07일,외야수(우투우타),184cm,79kg,0,0
2699,75268,조현근_1985년 11월 21일,투수(좌투좌타),184cm,74kg,0,05두산
2700,75307,차화준_1986년 03월 20일,내야수(우투좌타),180cm,82kg,0,05현대
2701,75321,손승락_1982년 03월 04일,투수(우투우타),187cm,99kg,0,05현대
2702,75324,캘러웨이_1975년 05월 13일,투수(우투우타),185cm,90kg,0,0
2703,75326,김기남_1982년 07월 15일,(우투우타),185cm,86kg,0,05현대
2704,75333,서튼_1970년 05월 14일,(좌투좌타),180cm,79kg,0,05현대
2705,75334,오재일_1986년 10월 29일,내야수(좌투좌타),187cm,95kg,47000만원,05현대
2706,75340,전유수_1986년 11월 29일,투수(우투좌타),185cm,95kg,10000만원,05현대
2707,75342,이보근_1986년 04월 30일,투수(우투우타),187cm,90kg,20000만원,05현대
2708,75344,허준_1981년 07월 20일,포수(우투우타),182cm,97kg,0,05현대
2709,75347,오성민_1985년 11월 06일,투수(우투우타),181cm,84kg,0,05현대
2710,75349,김동현_1986년 12월 28일,투수(우투우타),184cm,96kg,0,0
2711,75356,이상우_1981년 08월 13일,투수(우투우타),cm,kg,0,0
2712,75392,유덕형_1984년 05월 26일,내야수(우투우타),cm,kg,0,0
2713,75404,유용목_1986년 06월 10일,내야수(우투우타),178cm,80kg,0,08KIA
2714,75414,박재민_1982년 02월 08일,내야수(우투우타),182cm,82kg,0,0
2715,75419,김현중_1986년 08월 16일,내야수(우투우타),180cm,90kg,0,0
2716,75421,오승환_1982년 07월 15일,투수(우투우타),178cm,93kg,120000만원,05삼성
2717,75424,곽동훈_1981년 07월 13일,투수(우투우타),178cm,83kg,0,0
2718,75427,백준영_1982년 05월 18일,투수(좌투좌타),182cm,88kg,0,0
2719,75429,바르가스_1977년 02월 22일,투수(우투우타),183cm,90kg,0,0
