,선수명: ,등번호: ,생년월일: ,포지션: ,신장/체중: ,경력: ,입단 계약금: ,연봉: ,지명순위: ,입단년도: 
62770,윤승열,33,1993년 07월 08일,내야수(좌투좌타),180cm/80kg,천안남산초-천안북중-북일고-한화-경찰,,,12 한화 10라운드 92순위,12한화
62774,공민호,74,1989년 02월 05일,외야수(우투우타),184cm/85kg,(마린스리틀)-대동중-경남고-동아대,,,,
62790,송우석,90,1993년 08월 11일,외야수(우투좌타),177cm/83kg,신흥초-천안북중-북일고-한화,,,12 한화 육성선수,12한화
62793,임경훈,53,1989년 08월 30일,내야수(우투우타),177cm/73kg,유천초-한밭중-대전고-중앙대-한화,,,,
62796,이상우,96,1989년 10월 08일,투수(우투우타),180cm/85kg,양목초-신월중-덕수고-홍익대-한화,,,12 한화 육성선수,13한화
62797,양성우,12,1989년 05월 02일,외야수(우투좌타),174cm/84kg,하안북초-선린중-충암고-동국대-한화-경찰,7000만원,7000만원,12 한화 4라운드 41순위,12한화
62801,유태현,102,1982년 04월 27일,(),175cm/73kg,효성동초-청천중-부평고-한국체대,,,,12SK코치
62802,박승욱,16,1992년 12월 04일,내야수(우투좌타),184cm/85kg,칠성초-경복중-대구상원고-SK,8000만원,8000만원,12 SK 3라운드 31순위,12SK
62833,부시,33,1979년 11월 09일,투수(우투우타),188cm/93kg,미국 웨이크포레스트대,,,,
62859,마리오,59,1984년 12월 16일,투수(우투우타),185cm/95kg,스텔라마퀴고-VRCC대,,,,
62864,김민식,24,1989년 06월 28일,포수(우투좌타),180cm/80kg,양덕초-마산중-마산고-원광대-SK-상무-SK,14000만원,8800만원,12 SK 2라운드 11순위,12SK
62868,임치영,12,1988년 10월 29일,투수(우언우타),180cm/80kg,희망대초-성일중-성남서고-고려대-SK-경찰,,,12 SK 7라운드 67순위,12SK
62869,문승원,42,1989년 11월 28일,투수(우투우타),180cm/88kg,가동초-배명중-배명고-고려대-SK-상무,18000만원,25700만원,12 SK 1라운드 8순위,12SK
62877,알바레즈,80,1955년 06월 11일,(우투우타),180cm/75kg,미국 세인트포트릭고-미국 마이애미대,,,,
62883,박인성,53,1990년 03월 23일,내야수(우투우타),178cm/74kg,둔촌초-휘문중-휘문고-(사이버대),,,12 SK 육성선수,12SK
62884,최항,4,1994년 01월 03일,내야수(우투좌타),183cm/88kg,대일초-매송중-유신고,,7500만원,12 SK 8라운드 70순위,17SK
62887,이양우,92,1993년 05월 08일,외야수(우투우타),185cm/81kg,중동초-공주중-공주고,,,12 SK 육성선수,
62892,허건엽,43,1993년 07월 24일,투수(우투우타),178cm/88kg,대구도산초-포철중-포철공고-SK-상무,,,12 SK 4라운드 34순위,12SK
62893,최정민,23,1989년 06월 02일,내야수(우투좌타),177cm/72kg,배영초-마산중-마산고-동아대-SK-상무-SK,6000만원,3500만원,12 SK 5라운드 49순위,12SK
62894,정규창,56,1989년 06월 29일,내야수(우투우타),178cm/85kg,창신초(부산마린스리틀)-대동중-경남고-동아대,,,12 SK 육성선수,12SK
62895,한동민,62,1989년 08월 09일,외야수(우투좌타),190cm/105kg,중앙초(해운대리틀)-대천중-경남고-경성대-SK-상무,3000만원,25000만원,12 SK 9라운드 85순위,12SK
62896,위준호,34,1988년 08월 03일,포수(우투우타),185cm/95kg,영일초-대치중-경기고-동국대,,,,
62897,최윤철,123,1989년 10월 24일,외야수(우투우타),188cm/81kg,강남초-강남중-군산상고-송원대,,,12 SK 6라운드 52순위,
62902,박가람,95,1994년 01월 15일,포수(우투우타),178cm/77kg,백운초-휘문중-휘문고,,,,
62903,유상현,3,1986년 03월 23일,외야수(좌투좌타),175cm/75kg,순천북초-이수중-효천고-경희대,,,,
62905,윤국영,79,1990년 02월 07일,내야수(우투좌타),180cm/89kg,내발산초-성남중-주엽고-한민대,,,12 NC 육성선수,
62907,박민우,2,1993년 02월 06일,내야수(우투좌타),185cm/80kg,마포초(용산구리틀)-선린중-휘문고,16000만원,52000만원,12 NC 1라운드 9순위,12NC
62908,황윤호,2,1993년 09월 22일,내야수(우투우타),177cm/78kg,수주초-신월중-장충고-NC-경찰-NC,3000만원,5000만원,12 NC 10라운드 87순위,12NC
62910,이철우,24,1989년 06월 30일,외야수(우투우타),180cm/86kg,학강초-충장중-광주제일고-고려대,,,12 NC 육성선수,
62917,강구성,101,1993년 06월 09일,외야수(우투좌타),180cm/82kg,관산초-부천중-야탑고-NC-상무-NC,,,12 NC 특별 21순위,12NC
62918,김태형,120,1993년 07월 07일,투수(우투우타),185cm/82kg,창영초-동인천중-동산고-NC-넥센,7000만원,2900만원,12 NC 특별 22순위,12NC
62919,김기현,49,1989년 04월 03일,투수(좌투좌타),184cm/96kg,쌍문초-신일중-신일고-(원광대)-한화-경찰,,,12 NC 육성선수,14한화
62920,노성호,37,1989년 10월 22일,투수(좌투좌타),182cm/100kg,서흥초-상인천중-화순고-동국대-NC-상무-NC,30000만원,4000만원,12 NC 우선지명,12NC
62921,박헌욱,49,1993년 04월 11일,외야수(우투우타),184cm/88kg,무학초-마산동중-용마고,,,12 NC 7라운드 68순위,12NC
62922,윤문영,22,1990년 01월 26일,포수(우투우타),184cm/90kg,율하초-경상중-상원고-계명대,,,,
62923,유지창,23,1989년 10월 21일,외야수(좌투좌타),170cm/65kg,서당초-성일중-휘문고-한양대,,,,
62925,강진성,49,1993년 10월 19일,외야수(우투우타),180cm/81kg,가동초-잠신중-경기고-NC-경찰,7000만원,3800만원,12 NC 4라운드 33순위,12NC
62926,박세웅,33,1993년 08월 12일,포수(우투우타),180cm/80kg,청주우암초-청주중-청주고-NC-경찰,,,12 NC 5라운드 50순위,12NC
62927,김태우,12,1989년 07월 23일,포수(우투우타),181cm/81kg,서울이수초-성남중-성남고-단국대-NC-경찰,,,12 NC 특별 19순위,12NC
62929,이민호,15,1993년 08월 11일,투수(우투우타),185cm/90kg,부산수영초-부산중-부산고,30000만원,10000만원,12 NC 우선지명,12NC
62931,노진혁,52,1989년 07월 15일,내야수(우투좌타),184cm/80kg,광주대성초-광주동성중-광주동성고-성균관대-NC-상무,8000만원,14000만원,12 NC 특별 20순위,12NC
62933,류동호,96,1989년 10월 29일,투수(우투우타),183cm/80kg,수주초-성곡중-성남서고-경희대,,,12 NC 육성선수,
62934,김성욱,31,1993년 05월 01일,외야수(우투우타),181cm/83kg,광주서림초-충장중-진흥고,7000만원,12000만원,12 NC 3라운드 32순위,12NC
62936,방형철,36,1992년 09월 17일,투수(우투우타),184cm/84kg,율하초-경복중-대구고,,,,
62937,신재영,37,1989년 11월 18일,투수(우언우타),185cm/91kg,대전유천초-한밭중-대전고-단국대-NC-넥센-경찰-넥센,4000만원,7000만원,12 NC 8라운드 69순위,12NC
62939,박종규,39,1993년 07월 27일,외야수(우투좌타),172cm/65kg,김해삼성초-부산중-용마고,,,,
62941,정진,1,1979년 08월 06일,투수(우투우타),175cm/75kg,여문초-여수중-효천고-동의대-NC,,,12 NC 자유선발,12NC
62945,조영준,45,1993년 05월 03일,투수(우투좌타),184cm/84kg,서석초-경원중-경기고,,,,
62947,나성범,47,1989년 10월 03일,외야수(좌투좌타),183cm/100kg,광주대성초-진흥중-진흥고-연세대,30000만원,50000만원,12 NC 2라운드 10순위,12NC
62948,이경배,48,1993년 07월 30일,포수(우투우타),185cm/85kg,(구리리틀)-홍은중-장충고,,,,
62949,김태진,49,1989년 11월 23일,투수(우투우타),177cm/75kg,도신초-충암중-성남고-경남대,,,,
62950,여승철,108,1984년 05월 29일,투수(좌투좌타),184cm/87kg,동일초-부산중-부산상고-동국대-두산,,,12 NC 육성선수,14두산
62951,이형범,68,1994년 02월 27일,투수(우투우타),181cm/80kg,화순초-화순중-화순고-NC-경찰-NC,7000만원,14200만원,12 NC 특별 23순위,12NC
62959,오세직,59,1989년 04월 25일,내야수(우투우타),181cm/75kg,동천초-경주중-경주고-탐라대,,,,
62966,최금강,66,1989년 04월 26일,투수(우투우타),195cm/95kg,서흥초-동산중-인천고-인하대,,,12 NC 육성선수,13NC
62967,마낙길,8,1989년 06월 22일,외야수(우투우타),178cm/75kg,현산초(일산리틀)-언북중-충암고-경희대,,,12 NC 9라운드 86순위,12NC
63003,김남훈,3,1987년 06월 15일,내야수(우투우타),177cm/76kg,경주고-영동대,,,,
63008,김진솔,108,1990년 09월 25일,외야수(우투우타),171cm/75kg,동삼초-경남중-경남고-동아대-경찰,,,15 롯데 육성선수,13경찰
63014,오무열,107,1988년 12월 07일,외야수(우투우타),184cm/95kg,수유초-중앙중-휘문고-고양,,,,
63015,박병우,15,1993년 08월 02일,투수(우투우타),178cm/78kg,제물포고,,,,
63016,히가시하마,16,,투수(),cm/kg,,,,,
63019,송일출,19,1990년 12월 29일,투수(우투우타),185cm/79kg,휘문고-원광대,,,,
63020,이용욱,32,1988년 07월 24일,외야수(우투좌타),177cm/82kg,대신초-청주중-부경고-세한대,,,14 삼성 육성선수,
63021,곤잘레스,21,1983년 02월 27일,투수(좌투좌타),185cm/100kg,요코하마-대만,,,,
63025,강민구,55,1990년 10월 25일,투수(우투우타),190cm/100kg,장충고-중앙대,,,,
63027,안성무,42,1990년 12월 14일,투수(우투우타),180cm/80kg,양목초-양천중-서울고-고려대-경찰,,,15 삼성 육성선수,13경찰
63029,오오타치,143,,투수(),cm/kg,,,,,
63030,나카하라,126,,내야수(),cm/kg,,,,,
63032,손명기,32,1990년 11월 04일,포수(우투좌타),183cm/86kg,광주제일고-고려대,,,,
63033,최승원,33,1990년 07월 02일,외야수(우투우타),182cm/85kg,동성고-고려대,,,,
63034,이충희,34,1990년 08월 20일,투수(좌투좌타),180cm/80kg,성남고-홍익대,,,,
63035,장성희,35,1990년 03월 15일,투수(우언우타),182cm/81kg,청원고-호원대,,,,
63036,정재우,36,1988년 02월 10일,투수(우투우타),180cm/80kg,덕수정보고-단국대,,,,
63037,이이다,131,,투수(),cm/kg,,,,,
63038,엄일준,110,1990년 01월 04일,외야수(우투우타),171cm/77kg,도산초-포철중-제주고-경찰,,,,
63039,이토,49,,투수(),cm/kg,,,,,
63040,에지리,00,,투수(),cm/kg,,,,,
63041,카토,48,,투수(),cm/kg,,,,,
63042,최성락,42,1990년 07월 03일,포수(우투우타),180cm/85kg,화순고-동의대,,,,
63043,카사하라,63,,투수(),cm/kg,,,,,
63044,김우재,44,1992년 02월 18일,내야수(우투좌타),182cm/73kg,충암고-사이버대,,,,
63045,김재현,45,1988년 08월 31일,투수(우투우타),175cm/83kg,공주고-대불대,,,,
63046,시라네,141,,내야수(),cm/kg,,,,,
63047,미야자키,132,,내야수(),cm/kg,,,,,
63048,시바타,144,,내야수(),cm/kg,,,,,
63049,마사고,64,,외야수(),cm/kg,,,,,
63050,김현석,51,1990년 12월 20일,투수(우투우타),185cm/97kg,덕수정보고-중앙대,,,,
63051,신철언,117,1992년 01월 31일,내야수(우투좌타),176cm/80kg,성동초-잠신중-덕수고-연세대-경찰,,,18 넥센 육성선수,
63053,박대원,53,1984년 03월 01일,외야수(우투우타),187cm/89kg,성균관대,,,,
63054,정윤혁,54,1988년 11월 30일,내야수(우투우타),181cm/85kg,대구고,,,,
63055,정상원,103,1989년 02월 28일,투수(우투우타),182cm/88kg,구암초-덕수중-덕수고-고려대-경찰,,,14 롯데 육성선수,
63056,김성한,123,1992년 04월 15일,투수(우투우타),186cm/85kg,수유초-신일중-구리인창고-제주산업대-삼성-경찰,,3000만원,14 삼성 육성선수,15삼성
63058,강진형,58,1988년 06월 06일,내야수(우투좌타),176cm/74kg,덕수정보고-인하대,,,,
63060,타츠미,25,,투수(),cm/kg,,,,,
63061,카와하라,122,,투수(),cm/kg,,,,,
63062,츠카다,32,,내야수(),cm/kg,,,,,
63063,카사하라,63,,투수(),cm/kg,,,,,
63064,김민형,108,1992년 01월 16일,투수(우언우타),177cm/81kg,도신초-매송중-야탑고,,,15 SK 육성선수,
63065,마토스,30,1984년 08월 06일,투수(우투우타),182cm/94kg,샌프란시스코-멕시코,,,,
63066,박선호,62,1990년 12월 30일,내야수(우투우타),183cm/77kg,청원고-호원대,,,,
63069,넬슨,44,1982년 04월 21일,투수(우투우타),206cm/84kg,도미니카,,,,
63074,시아오이지에,138,,투수(),cm/kg,,,,,
63077,황목치승,0,1985년 06월 21일,내야수(우투우타),173cm/68kg,제주남초-제주제일중-일본 교토고쿠사이고-일본 아세아대,,,13 LG 육성선수,14LG
63088,김진곤,8,1987년 09월 10일,외야수(우투좌타),173cm/75kg,서흥초-동산중-동산고-제주산업대,,,09 SK 육성선수,15KT
63093,김경민,36,1988년 03월 25일,내야수(우투좌타),183cm/77kg,중앙고-고려대,,,,
63099,소리아노,99,1982년 12월 30일,투수(좌투좌타),188cm/90kg,히로시마,,,,
63102,김정수,102,1990년 08월 25일,내야수(우투좌타),178cm/75kg,성동초-신일중-청원고-원광대,,,13 NC 특별 20순위,13NC
63103,류원석,39,1989년 11월 18일,투수(우언우타),188cm/90kg,신원초-양천중-서울고-인하대,,3000만원,13 LG 육성선수,19LG
63104,조근종,65,1990년 05월 16일,투수(우언우타),186cm/80kg,청원초-청원중-청원고-원광대,,3300만원,13 LG 육성선수,17KT
63105,이찬원,105,1990년 05월 12일,투수(좌투좌타),180cm/83kg,남사초-천안북중-북일고-동아대,,,13 LG 육성선수,
63106,곽무균,106,1990년 02월 22일,투수(우투우타),180cm/74kg,가동초-잠신중-배명고-영남대,,,,
63107,허재영,107,1991년 06월 17일,포수(우투우타),181cm/85kg,상인천초-대헌중-인천고-영동대,,,,
63108,김훈영,119,1991년 03월 13일,내야수(우투우타),185cm/90kg,상인천초-동인천중-인천고-영동대,,,13 LG 육성선수,
63109,박범열,109,1990년 04월 02일,투수(우투우타),181cm/92kg,신곡초-수원북중-유신고-중앙대,,,13 LG 육성선수,
63110,유재상,110,1989년 04월 13일,포수(우투우타),180cm/80kg,신도초-부천중-부천고-성균관대,,,,
63111,류제국,11,1983년 05월 30일,투수(우투우타),190cm/105kg,용답초(동부리틀)-청량중-덕수정보고,,,07 해외진출선수 특별지명,01시카고컵스
63123,강승호,28,1994년 02월 09일,내야수(우투우타),180cm/90kg,순천북초-천안북중-북일고-LG-경찰-LG,,,13 LG 1라운드 3순위,13LG
63125,김재민,25,1991년 01월 28일,포수(우투우타),177cm/84kg,연천초(부산동래마린스리틀)-사직중-경남고-동아대-LG-상무,,,13 LG 8라운드 73순위,13LG
63134,심재윤,40,1994년 08월 19일,외야수(우투우타),186cm/95kg,관산초-소래중-북일고-LG,,,13 LG 4라운드 37순위,13LG
63137,이윤학,20,1994년 06월 18일,투수(우투우타),188cm/97kg,묘곡초(하남리틀)-배재중-신일고-(디지털문예대)-KT-KIA-경찰,,,13 LG 3라운드 24순위,14KT
63138,백남원,101,1994년 10월 04일,투수(우투우타),182cm/80kg,본리초-포항제철중-포철공고,5000만원,2700만원,13 LG 6라운드 55순위,
63142,안진근,0,1994년 03월 28일,내야수(우투좌타),182cm/81kg,중대초-잠신중-경기고-LG,,,13 LG 5라운드 42순위,13LG
63145,배재준,38,1994년 11월 24일,투수(우투우타),188cm/80kg,본리초-경상중-대구상원고,10000만원,5700만원,13 LG 2라운드 16순위,16LG
63148,오상엽,09,1994년 09월 29일,내야수(우투우타),184cm/82kg,동막초-대헌중-제물포고-LG,,,13 LG 7라운드 60순위,17LG
63164,채우석,64,1990년 04월 25일,외야수(우투우타),180cm/78kg,내덕초-청주중-청주기공고-계명대,,,,
63168,김동영,68,1989년 08월 08일,외야수(우투우타),177cm/78kg,백마초-충암중-충암고-동국대,,,13 LG 10라운드 91순위,
63202,장승현,22,1994년 03월 07일,포수(우투우타),184cm/86kg,인천서림초-동산중-제물포고-두산-경찰,7000만원,3500만원,13 두산 4라운드 36순위,13두산
63209,정수환,93,1989년 05월 02일,외야수(우투우타),192cm/108kg,가동초-덕수중-덕수고-두산,,,13 두산 육성선수,
63229,핸킨스,30,1983년 07월 01일,투수(우투우타),195cm/88kg,미국 멤피스대-두산,,,,
63230,올슨,30,1983년 10월 18일,투수(좌투좌타),185cm/93kg,미국 캘리포니아 폴리테크닉 주립대-두산,,,,
63235,정혁진,00,1994년 07월 18일,투수(좌투좌타),190cm/96kg,온양온천초-온양중-북일고-두산-LG,,,13 두산 3라운드 25순위,13두산
63248,함덕주,1,1995년 01월 13일,투수(좌투좌타),181cm/78kg,일산초-원주중-원주고,6000만원,21000만원,13 두산 5라운드 43순위,13두산
63257,김인태,39,1994년 07월 03일,외야수(좌투좌타),178cm/78kg,포항제철서초-천안북중-북일고-두산-경찰,20000만원,5000만원,13 두산 1라운드 4순위,13두산
63260,이우성,37,1994년 07월 17일,외야수(우투우타),182cm/95kg,대전유천초-한밭중-대전고-두산-상무-두산-NC,12000만원,4000만원,13 두산 2라운드 15순위,13두산
63262,천영웅,62,1994년 03월 23일,투수(우투좌타),178cm/76kg,서흥초-신흥중-인천고-두산,,,13 두산 6라운드 54순위,13두산
63265,송주영,94,1994년 12월 08일,투수(우투우타),186cm/85kg,대전신흥초-충남중-북일고,,,13 두산 7라운드 61순위,13두산
63287,고다,87,1965년 05월 29일,(우투좌타),180cm/85kg,일본 나가사키현립사세보공고,,,,
63290,서두원,112,1990년 09월 25일,투수(우언우타),182cm/85kg,숭인초(노원리틀)-청량중-덕수고-중앙대,,,13 두산 육성선수,
63292,박종기,18,1995년 01월 21일,투수(우투우타),177cm/68kg,청주우암초-청주중-청주고,,2900만원,13 두산 육성선수,15두산
63295,유창준,66,1989년 07월 25일,투수(우투우타),184cm/105kg,양정초-부산중-일본 사쿠신가쿠인고,,,13 두산 육성선수,13두산
63298,홍재용,97,1989년 07월 26일,내야수(우투우타),180cm/73kg,노암초-경포중-강릉고-단국대-고양,,,13 두산 육성선수,
63334,이상호,06,1994년 02월 25일,외야수(좌투좌타),178cm/84kg,노암초-자양중-경기고,,,13 넥센 6라운드 57순위,
63335,박민성,35,1990년 03월 05일,내야수(우투우타),182cm/80kg,화곡초-홍은중-덕수고-홍익대,,,,
63339,김민준,69,1994년 02월 12일,외야수(우투우타),175cm/75kg,군산남초-온양중-북일고,10000만원,2700만원,13 넥센 3라운드 22순위,13넥센
63342,조상우,11,1994년 09월 04일,투수(우투우타),186cm/97kg,서화초-상인천중-대전고-넥센,25000만원,20000만원,13 넥센 1라운드 1순위,13넥센
63348,조성운,35,1989년 10월 02일,투수(우투우타),185cm/88kg,영중초-신일중-신일고-한양대-넥센,4000만원,3000만원,13 넥센 7라운드 58순위,13넥센
63357,하해웅,47,1989년 05월 05일,투수(좌투좌타),172cm/80kg,금동초(김해리틀)-내동중-김해고-동국대,,,13 넥센 2라운드 18순위,13넥센
63358,김성진,68,1994년 03월 02일,투수(우투우타),188cm/87kg,남정초-선린중-선린인터넷고,,,13 넥센 4라운드 39순위,13넥센
63360,장시윤,44,1993년 09월 23일,내야수(우투우타),183cm/75kg,서화초-동인천중-인천고-넥센,,,13 넥센 8라운드 75순위,14넥센
63363,신명수,38,1994년 07월 16일,투수(우투우타),180cm/95kg,삼신초-울산제일중-울산공고,,,13 넥센 5라운드 40순위,13넥센
63368,김경오,68,1990년 11월 20일,포수(우투우타),181cm/95kg,가동초-잠신중-서울고-인하대,,,,
63391,신정윤,110,1990년 07월 05일,투수(우투우타),182cm/84kg,신곡초-수원북중-유신고-넥센-고양,,,13 넥센 육성선수,
63394,조승범,94,1989년 09월 25일,내야수(우투우타),189cm/93kg,수창초-무등중-광주제일고-인하대,,,,
63396,박태균,52,1990년 08월 30일,외야수(우투좌타),178cm/80kg,수유초-신일중-신일고-성균관대-넥센,,,,
63398,김진웅,98,1992년 02월 06일,내야수(우투우타),181cm/85kg,청구초-부천중-부천고,,,,
63402,김종석,102,1994년 09월 08일,포수(우투우타),185cm/87kg,신곡초-수원북중-부천고-(열린사이버대),,,13 삼성 육성선수,
63412,정승인,112,1990년 07월 11일,외야수(우투우타),183cm/85kg,학강초-무등중-광주제일고-인하대,,,,
63414,강원형,114,1990년 02월 22일,내야수(우투좌타),178cm/95kg,삼성초-내동중-마산고-경성대,,,,
63432,밴덴헐크,32,1985년 05월 22일,투수(우투우타),198cm/104kg,네덜란드 파블로 마틴고-삼성,,,13 삼성 자유선발,
63435,김성표,35,1994년 03월 17일,내야수(우투우타),179cm/65kg,포이초(서초구리틀)-대치중-휘문고,6000만원,2800만원,13 삼성 6라운드 50순위,13삼성
63440,이흥련,30,1989년 05월 16일,포수(우투우타),183cm/91kg,상탑초-매송중-야탑고-홍익대-삼성-두산-경찰-두산,7000만원,7000만원,13 삼성 5라운드 47순위,13삼성
63441,박재근,41,1994년 05월 09일,투수(우언우타),190cm/95kg,대해초-포항중-부산공고,,,,
63448,김영환,9,1993년 01월 31일,내야수(우투좌타),178cm/74kg,남도초-자양중-신일고-(서울사이버대)-KT-경찰,,3300만원,13 삼성 2라운드 11순위,14KT
63450,정현,7,1994년 06월 01일,내야수(우투우타),181cm/88kg,부산수영초-대천중-부산고-삼성-KT-상무-KT,15000만원,3000만원,13 삼성 1라운드 8순위,13삼성
63462,로드리게스,62,1987년 12월 13일,투수(우투우타),193cm/91kg,도미니카 세인트조리스대-삼성,,,,
63464,윤대경,5,1994년 04월 09일,투수(우투우타),179cm/75kg,인천서림초-동인천중-인천고-삼성,5000만원,2800만원,13 삼성 7라운드 65순위,13삼성
63465,카리대,41,1983년 10월 28일,투수(우투우타),178cm/89kg,도미니카 라몬 마티아스 멜라고-삼성,,,,
63492,이재익,44,1994년 03월 18일,투수(좌투좌타),180cm/76kg,삼일초-중앙중-유신고,4000만원,2800만원,13 삼성 8라운드 68순위,20삼성
63494,나준성,113,1990년 08월 25일,내야수(우투우타),176cm/68kg,대구옥산초-경복중-대구상원고-고려대,,,13 삼성 10라운드 86순위,
63495,곽병선,120,1994년 08월 04일,외야수(우투좌타),178cm/85kg,광주서석초-동성중-동성고,,,13 삼성 9라운드 83순위,14삼성
63512,박진형,40,1994년 06월 10일,투수(우투우타),181cm/77kg,영랑초-경포중-강릉고,10000만원,9000만원,13 롯데 2라운드 13순위,15롯데
63543,구승민,22,1990년 06월 12일,투수(우투우타),181cm/80kg,동일초(도봉구리틀)-청원중-청원고-홍익대-롯데-상무,5000만원,8000만원,13 롯데 6라운드 52순위,14롯데
63550,송주은,60,1994년 03월 25일,투수(우투우타),189cm/98kg,양정초-대천중-부산고-롯데-상무,,,13 롯데 1라운드 6순위,13롯데
63554,임종혁,52,1990년 04월 07일,외야수(우투좌타),177cm/77kg,중대초-배명중-배명고-동국대,,,13 롯데 9라운드 81순위,13롯데
63558,정준혁,58,1994년 04월 01일,외야수(좌투좌타),181cm/93kg,양정초-개성중-부산고,,,13 롯데 2차 10라운드 88순위,19롯데
63559,백동훈,49,1990년 09월 16일,외야수(우투우타),184cm/98kg,서울학동초-강남중-성남고-중앙대-롯데,6000만원,3600만원,13 롯데 5라운드 45순위,13롯데
63560,김종민,60,1994년 08월 27일,내야수(우투좌타),177cm/64kg,강남초-덕수중-부경고,,,,
63563,고도현,63,1990년 10월 13일,외야수(우투우타),182cm/97kg,내당초-경운중-대구고-동의대,,,13 롯데 7라운드 63순위,13롯데
63564,이종하,64,1994년 07월 19일,포수(우투우타),183cm/92kg,화순초-화순중-화순고,,,13 롯데 8라운드 70순위,13롯데
63569,장익호,69,1990년 06월 11일,포수(우투우타),178cm/86kg,서림초-대헌중-공주고-연세대,,,,
63584,이영준,83,1979년 07월 03일,(우투우타),180cm/92kg,서감초-주례중-경남고-경희대,,,,13롯데코치
63590,이명진,62,1990년 03월 07일,외야수(우투좌타),182cm/101kg,수영초-부산중-부산고-고려대,,,13 롯데 육성선수,
63593,조홍석,53,1990년 02월 23일,외야수(우투좌타),175cm/78kg,광주화정초-영남중-배명고-원광대,,,13 롯데 4라운드 34순위,13롯데
63596,김광용,96,1989년 10월 15일,투수(우투우타),178cm/91kg,경일초(도봉리틀)-중앙중-배명고-동아대,,,,
63598,이동희,64,1991년 01월 31일,포수(우투우타),176cm/86kg,고명초-덕수중-배명고-경남대,,,13 롯데 육성선수,
63601,김광연,4,1991년 11월 13일,내야수(우투좌타),182cm/73kg,군산중앙초-전라중-전주고-송원대,,,13 KIA 육성선수,13KIA
63603,서용주,42,1990년 06월 30일,외야수(우투우타),184cm/89kg,대해초-포철중-포철공고-동의대,,,13 KIA 육성선수,13KIA
63604,배장원,104,1990년 05월 17일,외야수(우투우타),181cm/88kg,남도초-경상중-상원고-홍익대,,,,
63605,류기훈,105,1990년 10월 26일,투수(좌투좌타),183cm/80kg,수주초-부천중-제물포고-연세대,,,,
63606,이동훈,65,1989년 04월 28일,외야수(우투좌타),176cm/72kg,동막초-대헌중-동산고-동국대,,,13 KIA 육성선수,13KIA
63607,강하승,107,1989년 10월 25일,내야수(우투우타),186cm/77kg,서림초-진흥중-진흥고-동국대-고양,,,,
63608,김승현,66,1987년 03월 11일,투수(우투우타),186cm/81kg,학강초-동성중-동성고-홍익대-KIA,,,,
63609,송원호,109,1990년 12월 04일,투수(우투우타),182cm/85kg,중대초-배명중-배명고-동국대,,,,
63610,박효승,110,1989년 07월 19일,외야수(우투우타),179cm/83kg,쌍문초-신일중-신일고-일본 도쿄정보대,,,13 KIA 육성선수,
63619,손동욱,50,1989년 08월 06일,투수(좌투좌타),184cm/95kg,신도초-부천중-부천고-단국대-KIA-넥센,,,13 KIA 1라운드 5순위,13KIA
63620,이효상,039,1990년 01월 22일,투수(우투우타),186cm/88kg,충암초-충암중-충암고-경희대,,,13 KIA 3라운드 26순위,13KIA
63628,고영창,60,1989년 02월 24일,투수(우투우타),189cm/100kg,광주서림초-진흥중-진흥고-연세대,5000만원,5800만원,13 KIA 6라운드 53순위,13KIA
63630,박효일,04,1990년 04월 18일,내야수(우투우타),180cm/80kg,칠성초-경상중-대구상원고-동의대,,,13 KIA 4라운드 35순위,13KIA
63634,이홍구,24,1990년 12월 11일,포수(우투우타),180cm/95kg,장안초-건대부중-장충고-단국대-KIA,11000만원,9000만원,13 KIA 2라운드 14순위,13KIA
63636,고장혁,52,1990년 01월 08일,내야수(우투양타),183cm/93kg,광주대성초-광주동성중-광주동성고-성균관대-KIA-경찰,6000만원,5000만원,13 KIA 5라운드 44순위,13KIA
63638,박준표,31,1992년 06월 26일,투수(우언우타),181cm/93kg,송정동초-진흥중-중앙고-동강대-KIA-경찰,4000만원,11000만원,13 KIA 7라운드 62순위,13KIA
63645,박찬,104,1990년 08월 08일,외야수(우투우타),182cm/83kg,미성초-강남중-성남고-단국대,,,13 KIA 8라운드 71순위,13KIA
63652,윤민섭,040,1990년 09월 30일,외야수(우투좌타),180cm/82kg,광주서림초-충장중-광주제일고-고려대,,,13 KIA 10라운드 89순위,13KIA
63657,최준식,035,1994년 05월 19일,외야수(우투좌타),183cm/74kg,서울이수초-배재중-경기고,,,13 KIA 9라운드 80순위,13KIA
63665,안우주,65,1989년 06월 08일,투수(우투우타),183cm/77kg,서석초-화순중-화순고-동국대,,,,
63667,이다샘,01,1989년 10월 31일,투수(우투우타),184cm/94kg,내발산초-양천중-경동고-원광대,,,13 KIA 육성선수,14KIA
63669,김민성,69,1988년 03월 30일,투수(우투우타),180cm/85kg,이수초-우신중-중앙고-영동대,,,,
63692,나담주,92,1989년 05월 11일,내야수(우투우타),182cm/78kg,수주초-부천중-서울고-경희대,,,13 KIA 육성선수,
63697,장준성,97,1992년 09월 18일,내야수(우투우타),176cm/75kg,종막초-대헌중-제물포고-영동대,,,,
63698,황수현,66,1991년 08월 31일,내야수(우투좌타),188cm/90kg,둔촌초-자양중-배명고-제주산업대,,,13 KIA 육성선수,15KIA
63700,장운호,10,1994년 02월 20일,외야수(우투우타),183cm/85kg,중대초-배명중-배재고-한화-상무,6000만원,3800만원,13 한화 6라운드 56순위,13한화
